NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,176,-1.18053,-0.961341,-0.717385,-1.05285,1.66992,1.13728,0.705892,0.666719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001866,-0.031463,0.036825,-0.018656,0.179296,0.190299
2,3,177,-1.17876,-0.903103,-0.724427,-1.06935,1.66992,1.13728,0.705885,0.666711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003781,-0.034953,0.041196,-0.064942,0.182107,0.217126
3,3,180,-1.16432,-0.911996,-0.74585,-1.06245,1.66992,1.13728,0.705889,0.666716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004375,-0.027771,0.045578,-0.046291,0.247689,0.189821
4,3,181,-1.15643,-0.899967,-0.722005,-1.07002,1.70898,1.13728,0.705886,0.666713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001605,-0.021817,0.036601,0.002974,0.204428,0.173525
5,3,183,-1.00777,-0.916536,-0.726005,-1.06881,1.66992,1.13728,0.705889,0.66672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004334,-0.023226,0.056913,-0.031286,0.23964,0.17903
6,3,185,-1.0155,-0.911467,-0.703921,-1.06478,1.66992,1.13728,0.705884,0.666719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002719,-0.0267,0.04108,-0.076859,0.245242,0.155776
7,3,186,-1.15869,-0.900811,-0.69904,-1.06385,1.70898,1.13728,0.705892,0.666713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000151,-0.020809,0.045878,0.070986,0.17533,0.18795
8,3,187,-1.14917,-1.06547,-0.721952,-1.09265,1.66992,1.13728,0.705889,0.666711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001875,-0.023986,0.041088,0.051658,0.218008,0.215952
9,3,190,-1.17509,-1.06329,-0.714459,-1.06847,1.66992,1.13728,0.705894,0.666713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004321,-0.023087,0.041245,-0.005228,0.210633,0.207582
10,3,191,-1.01401,-1.06248,-0.713472,-1.07301,1.66992,1.13729,0.70589,0.666716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010104,-0.024422,0.041466,0.023762,0.223352,0.188309
