NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,448,-0.133868,0.098154,-0.00117011,-0.0443249,1.66992,1.13732,0.627484,0.627555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004635,-0.028955,0.055445,-0.091178,0.165392,0.107007
2,3,450,-0.135698,0.107746,-0.00337327,-0.0556768,1.66992,1.13732,0.627472,0.627549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006584,-0.022428,0.05945,-0.063971,0.21583,0.169562
3,3,451,-0.156684,0.0910676,-0.0158656,-0.0725833,1.66992,1.13732,0.627475,0.627558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000759,-0.021634,0.061919,-0.083868,0.164673,0.133945
4,3,453,-0.213773,0.129871,-0.0172051,-0.0716965,1.66992,1.13732,0.627477,0.627555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011395,-0.031365,0.050985,-0.105356,0.052001,0.153083
5,3,455,-0.154586,0.104875,-0.00107023,-0.0563135,1.66992,1.13732,0.627481,0.627554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003487,-0.031174,0.059781,-0.104624,0.130205,0.151612
6,3,456,-0.17592,0.0825393,-0.0134875,-0.0442484,1.66992,1.13732,0.627481,0.627556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000715,-0.024166,0.057655,-0.086872,0.126913,0.151683
7,3,458,-0.151152,0.0891315,0.00819974,-0.0545801,1.66992,1.13732,0.627479,0.627552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004593,-0.02855,0.048425,-0.076068,0.188327,0.135171
8,3,460,-0.158703,0.111356,-0.00985112,-0.0604227,1.66992,1.13732,0.627481,0.62755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00345,-0.033555,0.055346,-0.119108,0.115547,0.169977
9,3,461,-0.153651,0.0701942,0.0021714,-0.0615997,1.66992,1.13732,0.627478,0.627548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006472,-0.027478,0.057515,-0.069886,0.184508,0.15109
10,3,463,-0.126026,0.107471,-0.0200572,-0.0674061,1.66992,1.13732,0.627476,0.627556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003354,-0.03585,0.055222,-0.145512,0.138416,0.161664
