NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,230,0.815091,0.820729,1.28099,0.743278,1.17659,0.980461,0.600917,0.576634,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012242,0.011528,-0.028623,0.158586,-0.170408,-0.033227
2,3,232,0.827986,0.799578,1.29563,0.75896,1.17659,0.980461,0.602798,0.576897,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003461,0.0254,-0.026205,0.130844,-0.152634,-0.05956
3,3,234,0.801401,0.821595,1.28082,0.742958,1.17659,0.980458,0.601897,0.576581,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008253,0.01627,-0.024175,0.187388,-0.13083,-0.069679
4,3,235,0.798522,0.813614,1.28426,0.733514,1.17659,0.980456,0.602278,0.575779,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00385,0.0212,-0.031079,0.167696,-0.102577,-0.049987
5,3,237,0.789879,0.802929,1.27016,0.76402,1.17659,0.980459,0.599303,0.57634,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001706,0.01987,-0.028732,0.134487,-0.104613,-0.041403
6,3,239,0.956377,0.806152,1.27088,0.743102,1.17659,0.980458,0.601979,0.575194,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015816,0.01885,-0.037852,0.153886,-0.175934,-0.030273
7,3,240,0.788978,0.819988,1.27301,0.731998,1.17659,0.98046,0.600758,0.575481,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003644,0.02102,-0.026512,0.129092,-0.10908,-0.050255
8,3,241,0.79903,0.810272,1.29148,0.656563,1.1766,0.980457,0.601339,0.576807,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010064,0.014923,-0.024116,0.154348,-0.142196,-0.087001
9,3,244,0.778802,0.802271,1.27093,0.724128,1.17659,0.980459,0.60264,0.574774,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009934,0.015127,-0.035362,0.143215,-0.177716,-0.00512
10,3,245,0.790219,0.782809,1.27074,0.733886,1.17659,0.980458,0.602732,0.575939,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01184,0.016154,-0.03307,0.137113,-0.182179,-0.04077
11,3,247,0.787775,0.785727,1.28263,0.729879,1.17657,0.980448,0.601909,0.576483,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003789,0.020812,-0.039655,0.177937,-0.154513,-0.076398
12,3,249,0.797346,0.778264,1.26987,0.72746,1.17659,0.980456,0.601658,0.575255,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009691,0.019735,-0.022024,0.121392,-0.131797,-0.06829
13,3,250,0.77112,0.796026,1.26945,0.758887,1.17658,0.980452,0.600203,0.576504,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001922,0.01746,-0.030879,0.157192,-0.113689,-0.05074
14,3,252,0.794623,0.834479,1.28634,0.739647,1.17659,0.980457,0.600448,0.576484,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003952,0.018662,-0.037544,0.177146,-0.148091,-0.032212
15,3,254,0.800065,0.817628,1.2831,0.744722,1.1766,0.980461,0.601239,0.575883,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007564,0.013853,-0.033214,0.085633,-0.133539,-0.048878
16,3,255,0.793394,0.825102,1.28966,0.736865,1.17659,0.980462,0.601774,0.577334,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001695,0.01736,-0.035296,0.131751,-0.12702,-0.049799
17,3,257,0.790278,0.79713,1.29912,0.73996,1.17659,0.980462,0.600829,0.575819,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009964,0.01724,-0.028482,0.156018,-0.1784,-0.050948
18,3,258,0.905982,0.817505,1.30918,0.772351,1.1766,0.980463,0.600298,0.578741,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015928,0.01595,-0.028384,0.13577,-0.23756,-0.015073
19,3,260,0.965303,0.794195,1.27821,0.740217,1.17659,0.980458,0.601372,0.577683,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001846,0.019712,-0.030761,0.158422,-0.135469,-0.041993
20,3,262,0.866533,0.818103,1.28483,0.763284,1.17659,0.980456,0.60174,0.576013,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007811,0.018579,-0.026445,0.139242,-0.135084,-0.059401
21,3,264,0.940416,0.797468,1.27721,0.750847,1.1766,0.980457,0.600043,0.57687,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013905,0.019799,-0.028689,0.159362,-0.179748,-0.041152
22,3,265,0.773511,0.779128,1.25346,0.717808,1.1766,0.980459,0.599959,0.576606,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005848,0.012473,-0.035182,0.126977,-0.153257,-0.067885
23,3,1,0.916372,0.802991,1.29264,0.756625,1.1766,0.980458,0.601298,0.575933,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001768,0.015094,-0.030911,0.117799,-0.112838,-0.032448
24,3,1,0.916372,0.802991,1.29264,0.756625,1.1766,0.980458,0.601298,0.575933,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016332,0.008953,-0.04617,0.180566,-0.277203,0.012626
25,3,2,2.45145,6.7826,3.19452,0.724247,1.2157,0.980476,0.627487,0.613351,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002317,0.021221,-0.02562,0.154976,-0.16324,-0.141998
26,3,2,2.45145,6.7826,3.19452,0.724247,1.2157,0.980476,0.627487,0.613351,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001844,0.021545,-0.028027,0.16945,-0.195692,-0.061337
27,3,4,2.36248,6.30168,3.15917,0.710561,1.21569,1.0196,0.627551,0.627471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01577,0.022112,-0.025363,0.160833,-0.319314,-0.097125
