NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,292,0.86962,0.858062,1.21793,0.662496,0.862852,0.705895,0.266718,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005967,0.022016,-0.008418,0.147186,-0.131843,-0.03575
2,3,294,0.831904,0.832147,1.15875,0.763155,0.862851,0.705895,0.264594,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006125,0.015395,-0.028828,0.157008,-0.131954,0.020473
3,3,295,0.841821,0.866507,1.17286,0.640593,0.862846,0.705894,0.266036,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011324,0.018579,-0.051128,0.11512,-0.170311,-0.081514
4,3,297,0.828437,0.875568,1.1855,0.789991,0.862853,0.705895,0.266138,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005867,0.022263,-0.022076,0.161592,-0.107971,-0.060011
5,3,298,0.843509,0.857474,1.19595,0.711803,0.862851,0.705895,0.266328,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003745,0.023646,-0.022222,0.144989,-0.094432,-0.015023
6,3,300,0.830778,0.839253,1.15047,0.638547,0.86284,0.705895,0.265936,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005703,0.022106,-0.039808,0.173516,-0.143634,-0.084585
7,3,302,0.879054,0.870542,1.18912,0.699349,0.862849,0.705893,0.265083,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010123,0.022088,-0.012881,0.172702,-0.172039,-0.00865
8,3,304,0.821206,0.844565,1.15891,0.712582,0.86284,0.705894,0.264575,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018124,0.017323,-0.02182,0.156522,-0.228701,0.001933
9,3,305,0.872238,0.878599,1.21055,0.703069,0.862848,0.705895,0.266181,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003738,0.015986,-0.044043,0.148529,-0.169404,-0.066973
10,3,307,0.957862,0.86455,1.19494,0.798629,0.862854,0.705894,0.266722,0.272471,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016151,0.020741,-0.026099,0.18982,-0.25353,0.00171
