NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,51,1.33909,1.3501,1.34951,1.45321,1.21571,0.980461,0.600508,0.592346,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003696,0.015659,-0.034913,0.133953,-0.162567,-0.121779
2,3,53,1.3303,1.33377,1.33228,1.43537,1.21571,0.980457,0.600385,0.591545,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0.014668,-0.030495,0.140053,-0.159036,-0.060502
3,3,53,1.3303,1.33377,1.33228,1.43537,1.21571,0.980457,0.600385,0.591545,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011767,0.015547,-0.028087,0.120762,-0.23488,-0.069092
4,3,56,1.40792,1.34963,1.32439,1.44569,1.2157,0.980463,0.601392,0.591975,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024,0.019066,-0.041413,0.15463,-0.169379,-0.121759
5,3,57,1.35509,1.3568,1.3447,1.45296,1.2157,0.980456,0.600493,0.592775,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007618,0.015822,-0.02396,0.097462,-0.14957,-0.095371
6,3,60,1.32879,1.34424,1.33847,1.4616,1.21571,0.980463,0.599872,0.592613,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001732,0.016789,-0.023602,0.115399,-0.180654,-0.052494
7,3,61,1.31635,1.32471,1.32994,1.41574,1.21571,0.980462,0.599849,0.592318,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549,0.021579,-0.034905,0.132697,-0.195251,-0.085675
8,3,62,1.31342,1.34013,1.32453,1.4306,1.21571,0.980462,0.600652,0.591888,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007815,0.015578,-0.0303,0.133317,-0.217953,-0.069283
9,3,64,1.32937,1.33503,1.35837,1.43971,1.2157,0.980456,0.601831,0.592918,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001681,0.021769,-0.03048,0.145956,-0.179261,-0.033441
10,3,66,1.35616,1.31925,1.3248,1.44071,1.21569,0.980451,0.5993,0.592499,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009703,0.0167,-0.041494,0.1531,-0.221645,-0.129821
11,3,68,1.30769,1.31345,1.31442,1.43084,1.21571,0.980458,0.600621,0.591125,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008271,0.022728,-0.01909,0.226585,-0.205929,-0.098605
12,3,69,1.3249,1.32843,1.35943,1.46433,1.21571,0.980462,0.600708,0.592813,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015714,0.020286,-0.025896,0.13735,-0.251337,-0.077818
13,3,71,1.3225,1.36012,1.33348,1.45268,1.21571,0.980463,0.599859,0.592318,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007506,0.020413,-0.039413,0.138261,-0.200114,-0.102729
14,3,73,1.47284,1.35808,1.33416,1.43671,1.2157,0.980462,0.600748,0.591698,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003542,0.022455,-0.014556,0.112556,-0.184483,-0.0978
15,3,74,1.31546,1.34062,1.32027,1.43902,1.2157,0.980458,0.59989,0.590677,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01185,0.020497,-0.023772,0.150877,-0.219994,-0.051718
16,3,76,1.31239,1.31242,1.3093,1.41531,1.2157,0.980459,0.599796,0.592928,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011674,0.013267,-0.032713,0.10708,-0.204414,-0.103502
