NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,571,1.37785,1.53363,1.56657,1.33988,1.13739,0.941301,0.542664,0.544788,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011603,0.01585,-0.02843,0.097802,-0.188677,-0.067837
2,3,573,1.44494,1.56423,1.5693,1.33887,1.17646,0.941308,0.543104,0.54511,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005939,0.016744,-0.023602,0.152756,-0.184402,-0.106102
3,3,574,1.57081,1.54784,1.56351,1.34099,1.13739,0.941309,0.542158,0.545224,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007606,0.020167,-0.025755,0.123855,-0.223985,-0.078468
4,3,576,1.51771,1.5302,1.51542,1.31256,1.17646,0.941311,0.54495,0.544097,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013849,0.01687,-0.023731,0.128794,-0.232687,-0.051616
5,3,578,1.54773,1.57106,1.54682,1.21441,1.13739,0.941305,0.54184,0.544381,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005714,0.021665,-0.025985,0.145416,-0.189518,-0.060519
6,3,579,1.55868,1.57233,1.54806,1.32996,1.17646,0.9413,0.543049,0.544493,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003632,0.022571,-0.01683,0.125717,-0.192243,-0.070965
7,3,581,1.4377,1.56793,1.54804,1.33269,1.17645,0.941299,0.542691,0.544365,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119,0.020301,-0.021418,0.162185,-0.213319,-0.105786
8,3,583,1.40562,1.44858,1.54045,1.30418,1.17646,0.941305,0.543934,0.544655,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003679,0.022926,-0.034963,0.165738,-0.183885,-0.068353
9,3,584,1.3486,1.30541,1.54878,1.31123,1.13739,0.941302,0.54317,0.544994,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001577,0.019207,-0.028159,0.117871,-0.171734,-0.069217
10,3,586,1.55189,1.36069,1.53983,1.28166,1.13739,0.941303,0.542549,0.545836,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005552,0.019031,-0.023572,0.104342,-0.204009,-0.06969
11,3,588,1.5466,1.41278,1.56418,1.34186,1.17646,0.941308,0.542469,0.545331,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007756,0.020369,-0.032623,0.162727,-0.20213,-0.104334
12,3,589,1.37806,1.38148,1.53614,1.33674,1.17645,0.941303,0.542665,0.544655,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001532,0.016638,-0.028039,0.10224,-0.171962,-0.104956
13,3,591,1.39958,1.59429,1.58114,1.351,1.13739,0.941303,0.541525,0.542199,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015686,0.015393,-0.025801,0.107501,-0.251803,-0.095699
14,3,592,1.42975,1.54643,1.56912,1.31855,1.17645,0.9413,0.541874,0.542467,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007799,0.013196,-0.023641,0.106204,-0.196011,-0.078768
15,3,594,1.56109,1.5565,1.5528,1.35725,1.13739,0.9413,0.542418,0.542131,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007449,0.022648,-0.0237,0.114139,-0.192891,-0.095736
16,3,596,1.5575,1.57262,1.57156,1.35698,1.17646,0.9413,0.544316,0.542737,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003557,0.020761,-0.032959,0.127585,-0.153267,-0.049904
17,3,598,1.54419,1.57224,1.55352,1.33274,1.13739,0.941303,0.54315,0.544515,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007939,0.022923,-0.026052,0.190638,-0.180811,-0.096372
18,3,599,1.42722,1.5724,1.57794,1.36927,1.13739,0.941303,0.543491,0.543726,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007907,0.022721,-0.028089,0.189398,-0.210578,-0.096529
19,3,601,1.36074,1.52749,1.54639,1.31388,1.17646,0.941306,0.542424,0.545051,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017765,0.011601,-0.021087,0.084175,-0.295195,-0.070127
20,3,603,1.55818,1.38692,1.55225,1.24981,1.17646,0.941305,0.542735,0.544409,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009582,0.016685,-0.028087,0.102746,-0.221331,-0.077701
21,3,604,1.47199,1.40108,1.55832,1.34463,1.17646,0.941306,0.543001,0.543764,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967,0.011779,-0.032395,0.097806,-0.237306,-0.095508
22,3,606,1.50708,1.41991,1.57783,1.2581,1.17646,0.941302,0.540567,0.542122,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019583,0.020327,-0.025964,0.112782,-0.274935,-0.050358
23,3,608,1.39796,1.41275,1.55856,1.34929,1.17646,0.941308,0.541942,0.542847,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009492,0.01649,-0.027923,0.089051,-0.243344,-0.077895
24,3,609,1.3922,1.53859,1.52542,1.29711,1.17645,0.941307,0.541746,0.543362,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013455,0.011957,-0.028133,0.049035,-0.2454,-0.041324
25,3,611,1.38825,1.5544,1.57252,1.35783,1.13739,0.941308,0.542842,0.544896,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009628,0.02156,-0.012586,0.107244,-0.191863,-0.061574
26,3,613,1.38398,1.56785,1.56933,1.33951,1.17646,0.941312,0.543039,0.544849,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000511,0.015705,-0.034913,0.096596,-0.158818,-0.06817
27,3,614,1.45199,1.57075,1.57399,1.35293,1.17646,0.941306,0.543561,0.544951,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007266,0.020173,-0.028162,0.086762,-0.184438,-0.13034
28,3,2,1.38244,1.58136,1.57513,1.34831,1.17646,0.941303,0.541057,0.544298,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00342,0.02029,-0.012551,0.074403,-0.153865,-0.079352
29,3,4,1.69687,7.693,1.55202,1.33982,1.17646,0.941253,0.567212,0.570769,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018645,0.021307,-0.041264,0.118408,0.186854,-0.063942
30,3,5,1.74388,7.35593,1.51656,1.31319,1.13738,0.941274,0.576559,0.573957,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031594,0.012947,-0.041349,0.068808,-0.122514,0.055008
31,3,7,1.68367,8.63071,1.55123,1.33079,1.17647,0.980386,0.586988,0.584759,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149,0.019927,-0.02523,0.196563,-0.268126,-0.028271
32,3,7,1.68367,8.63071,1.55123,1.33079,1.17647,0.980386,0.586988,0.584759,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019342,0.022643,-0.032748,0.114815,-0.250658,-0.120014
33,3,7,1.68367,8.63071,1.55123,1.33079,1.17647,0.980386,0.586988,0.584759,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011336,0.016167,-0.019994,0.074451,-0.368713,-0.196913
34,3,7,1.68367,8.63071,1.55123,1.33079,1.17647,0.980386,0.586988,0.584759,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025763,0.016627,-0.028013,0.115239,-0.343171,-0.02382
35,3,10,7.23407,18.7112,1.54512,1.32771,1.17652,0.98044,0.625997,0.629964,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007677,0.017584,-0.030038,0.133133,-0.239722,-0.114133
36,3,10,7.23407,18.7112,1.54512,1.32771,1.17652,0.98044,0.625997,0.629964,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021224,0.010542,-0.049472,0.042383,0.188473,-0.127256
37,3,12,8.37594,17.4752,1.36237,1.32256,1.1766,0.980445,0.627532,0.627528,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017573,0.016007,-0.034391,0.112221,0.007363,-0.160951
38,3,13,12.1093,20.24,9.78168,1.36853,1.2157,0.980492,0.627567,0.627559,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004693,0.014732,-0.049716,0.091342,0.047946,-0.098507
39,3,15,14.9917,24.6252,9.76625,1.23763,1.21578,1.01963,0.666761,0.666775,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023349,0.01979,-0.045753,0.110785,-0.041722,-0.104887
40,3,16,19.0526,24.7471,14.8662,1.34594,1.2158,1.01969,0.705872,0.70591,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023785,0.014186,-0.035657,0.100514,-0.240042,0.059265
41,3,18,21.1888,32.4934,18.0113,1.32897,1.27716,1.05893,0.706001,0.745211,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025417,0.015715,-0.034091,0.073056,-0.108053,-0.080681
