NUM,ID,STAMP,Pressure_IP,Pressure_MCPB,Pressure_MCPAL,Pressure_MCPAR,EGaIn_DIP,EGaIn_PIP,EGaIn_MCPL,EGaIn_MCPR,FORCE1,FORCE2,FORCE3,FORCE4,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z,T_Force_X,T_Force_Y,T_Force_Z,T_Torque_X,T_Torque_Y,T_Torque_Z
1,3,539,1.58177,1.44283,1.60914,1.39355,1.17655,0.980428,0.59752,0.587777,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007775,0.013341,-0.026014,0.107178,-0.180664,-0.078103
2,3,541,1.61028,1.46573,1.64483,1.39155,1.17654,0.980429,0.595867,0.588998,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003714,0.015486,-0.023536,0.107533,-0.193109,-0.070249
3,3,543,1.62179,1.47022,1.67039,1.41563,1.17655,0.980423,0.594544,0.586099,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003483,0.018005,-0.039378,0.123436,-0.175665,-0.111897
4,3,544,1.61069,1.46728,1.63467,1.4003,1.17655,0.980421,0.594939,0.585619,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005399,0.016822,-0.019386,0.066017,-0.143614,-0.104682
5,3,546,1.6122,1.4918,1.61843,1.35835,1.17655,0.980422,0.595028,0.585304,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009727,0.016936,-0.023842,0.116707,-0.184899,-0.078015
6,3,547,1.59952,1.4559,1.59936,1.36,1.17655,0.980415,0.595124,0.585508,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009331,0.016807,-0.032768,0.078814,-0.189543,-0.102737
7,3,549,1.46486,1.45166,1.58817,1.40678,1.17655,0.980411,0.596724,0.585055,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011685,0.015699,-0.028259,0.109282,-0.211779,-0.068464
8,3,550,1.46683,1.45013,1.62272,1.39216,1.17655,0.980422,0.5953,0.585511,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00734,0.013123,-0.019253,0.030945,-0.178324,-0.077975
9,3,553,1.42721,1.44721,1.57358,1.3813,1.17655,0.980437,0.596554,0.589297,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011386,0.020171,-0.02144,0.08666,-0.210052,-0.104485
10,3,554,1.46013,1.46257,1.62551,1.401,1.17655,0.980431,0.596232,0.589456,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003406,0.015537,-0.028125,0.070612,-0.183338,-0.068681
11,3,556,1.47956,1.49117,1.64119,1.44347,1.17655,0.980427,0.595709,0.58854,65.5,66,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005612,0.014398,-0.017031,0.075999,-0.160288,-0.087922
