NUM,DIP_Pitch,DIP_Yaw,DIP_Roll,DIP_X,DIP_Y,DIP_Z,PIP_Pitch,PIP_Yaw,PIP_Roll,PIP_X,PIP_Y,PIP_Z,MCP_Pitch,MCP_Yaw,MCP_Roll,MCP_X,MCP_Y,MCP_Z
515,16.0096,182.413,-14.6378,-86.306,120.167,-16.7353,-2.00266,-13.5704,-2.34082,-18.4905,-56.9051,17.4681,6.71678,-26.0275,13.3005,1.34222,-50.5492,-0.648857
516,16.0096,182.413,-14.6378,-86.306,120.167,-16.7353,-2.00266,-13.5704,-2.34082,-18.4905,-56.9051,17.4681,6.71678,-26.0275,13.3005,1.34222,-50.5492,-0.648857
517,16.3085,177.689,-15.6427,-86.3073,113.076,0.177298,-0.625415,-11.0562,1.13818,-18.8878,-50.7153,0.000408684,5.04073,-23.818,10.8264,1.74079,-49.6481,-0.0937459
518,16.3085,177.689,-15.6427,-86.3073,113.076,0.177298,-0.625415,-11.0562,1.13818,-18.8878,-50.7153,0.000408684,5.04073,-23.818,10.8264,1.74079,-49.6481,-0.0937459
519,-0.336131,-5.84615,4.01598,-14.9629,-22.4723,-5.51865,-1.12518,-10.9781,1.84924,-19.0654,-49.6419,-2.45381,4.08142,-21.9992,8.46358,1.46608,-48.5218,-0.911875
520,-0.336131,-5.84615,4.01598,-14.9629,-22.4723,-5.51865,-1.12518,-10.9781,1.84924,-19.0654,-49.6419,-2.45381,4.08142,-21.9992,8.46358,1.46608,-48.5218,-0.911875
521,-0.336131,-5.84615,4.01598,-14.9629,-22.4723,-5.51865,0.625045,-14.1337,5.07594,-20.2104,-50.161,-5.71635,2.33119,-18.8436,5.23688,2.61109,-48.0027,2.35066
522,-0.336131,-5.84615,4.01598,-14.9629,-22.4723,-5.51865,0.625045,-14.1337,5.07594,-20.2104,-50.161,-5.71635,2.33119,-18.8436,5.23688,2.61109,-48.0027,2.35066
523,-0.336131,-5.84615,4.01598,-14.9629,-22.4723,-5.51865,0.625045,-14.1337,5.07594,-20.2104,-50.161,-5.71635,2.33119,-18.8436,5.23688,2.61109,-48.0027,2.35066
524,-0.569229,-6.06668,3.60996,-15.253,-21.424,-6.72077,-1.35021,-10.6997,1.87495,-18.92,-49.1049,-4.17151,2.07891,-16.3606,4.93813,2.16539,-47.096,0.0226193
